t_s,wall_time,frame,tier,theta_deg,x_mm,y_mm,n_c,n_r,mad_h,mad_v,fps
0.5824,1789123612.883,20999,junction,2.193,-11.336,0.875,43,32,0.188,0.313,118.2
0.6024,1789123612.903,21000,junction,2.217,-11.375,0.885,108,71,0.188,0.188,113.3
0.6113,1789123612.912,21001,junction,2.197,-11.334,0.872,44,32,0.188,0.313,103.9
0.6194,1789123612.920,21002,junction,2.188,-11.334,0.872,45,32,0.188,0.313,105.4
0.6282,1789123612.929,21003,junction,2.194,-11.337,0.875,43,32,0.188,0.313,107.0
0.6380,1789123612.939,21004,junction,2.214,-11.334,0.872,43,32,0.313,0.188,107.6
0.6459,1789123612.947,21005,junction,2.199,-11.333,0.872,43,32,0.188,0.313,108.6
0.6534,1789123612.954,21006,junction,2.199,-11.331,0.875,44,32,0.188,0.188,109.9
0.6613,1789123612.962,21007,junction,2.198,-11.334,0.871,43,32,0.188,0.313,110.1
0.6695,1789123612.970,21008,junction,2.191,-11.331,0.875,44,32,0.188,0.313,111.3
0.6784,1789123612.979,21009,junction,2.202,-11.334,0.875,44,32,0.313,0.188,112.5
0.6867,1789123612.988,21010,junction,2.223,-11.336,0.872,43,32,0.188,0.188,112.5
0.6950,1789123612.996,21011,junction,2.204,-11.334,0.875,44,32,0.188,0.188,113.5
0.7035,1789123613.004,21012,junction,2.184,-11.336,0.874,44,32,0.188,0.313,114.3
0.7118,1789123613.013,21013,junction,2.2,-11.331,0.872,44,32,0.188,0.188,114.1
0.7197,1789123613.021,21014,junction,2.2,-11.333,0.872,44,32,0.188,0.313,115.0
0.7292,1789123613.030,21015,junction,2.192,-11.333,0.872,43,32,0.188,0.313,115.8
0.7370,1789123613.038,21016,junction,2.201,-11.334,0.874,44,32,0.188,0.188,115.5
0.7463,1789123613.047,21017,junction,2.204,-11.337,0.876,43,32,0.188,0.188,116.3
0.7540,1789123613.055,21018,junction,2.207,-11.337,0.875,43,32,0.188,0.188,117.0
0.7622,1789123613.063,21019,junction,2.2,-11.334,0.875,43,32,0.188,0.188,116.4
0.7699,1789123613.071,21020,junction,2.206,-11.334,0.875,43,32,0.188,0.188,117.1
