t_s,wall_time,frame,tier,theta_deg,x_mm,y_mm,n_c,n_r,mad_h,mad_v,fps
1.0169,1789129707.643,274280,junction,-1.404,3.758,-3.178,42,32,0.438,0.188,66.0
1.0356,1789129707.662,274281,junction,-1.371,3.765,-3.184,43,32,0.313,0.188,66.0
1.0464,1789129707.673,274282,junction,-1.378,3.768,-3.183,43,32,0.313,0.188,65.6
1.0624,1789129707.689,274283,junction,-1.383,3.759,-3.203,42,32,0.313,0.188,65.7
1.0785,1789129707.705,274284,junction,-1.377,3.767,-2.743,42,32,0.313,0.188,65.9
1.0940,1789129707.720,274285,junction,-1.389,3.769,-3.18,42,32,0.313,0.188,65.5
1.1090,1789129707.735,274286,junction,-1.393,3.76,-3.191,43,32,0.313,0.188,65.8
1.1257,1789129707.752,274287,junction,-1.382,3.761,-3.188,42,32,0.313,0.188,65.7
1.1427,1789129707.769,274288,junction,-1.368,3.762,-3.182,43,32,0.313,0.188,65.3
1.1540,1789129707.780,274289,junction,-1.382,3.762,-3.192,43,32,0.313,0.188,65.5
1.1849,1789129707.811,274290,junction,-1.433,3.84,-3.105,104,69,0.438,0.188,63.0
1.1993,1789129707.826,274291,junction,-1.428,3.767,-3.177,43,32,0.313,0.188,60.1
1.2130,1789129707.839,274292,junction,-1.376,3.76,-3.177,42,32,0.313,0.188,60.9
1.2285,1789129707.855,274293,junction,-1.376,3.769,-2.74,43,32,0.438,0.188,61.7
1.2424,1789129707.869,274294,junction,-1.394,3.764,-3.193,41,32,0.313,0.188,62.0
1.2570,1789129707.883,274295,junction,-1.383,3.764,-3.19,41,32,0.313,0.188,62.7
1.2729,1789129707.899,274296,junction,-1.388,3.765,-3.187,43,32,0.313,0.188,63.4
1.2871,1789129707.913,274297,junction,-1.386,3.765,-3.179,42,32,0.313,0.188,63.4
1.3013,1789129707.928,274298,junction,-1.38,3.76,-3.195,42,32,0.313,0.188,63.9
1.3176,1789129707.944,274299,junction,-1.397,3.761,-3.167,41,32,0.313,0.188,64.3
1.3316,1789129707.958,274300,junction,-1.386,3.768,-3.174,41,32,0.313,0.188,64.5
1.3469,1789129707.973,274301,junction,-1.394,3.766,-3.201,42,32,0.313,0.188,65.0
1.3640,1789129707.990,274302,junction,-1.384,3.769,-3.175,42,32,0.313,0.188,65.3
1.3767,1789129708.003,274303,junction,-1.385,3.761,-3.178,41,32,0.313,0.188,65.2
1.3913,1789129708.018,274304,junction,-1.384,3.764,-3.186,42,32,0.313,0.188,65.4
1.4065,1789129708.033,274305,junction,-1.394,3.765,-3.178,41,32,0.313,0.188,65.6
1.4245,1789129708.051,274306,junction,-1.378,3.774,-2.748,42,32,0.313,0.188,65.4
1.4411,1789129708.067,274307,junction,-1.394,3.762,-3.188,42,32,0.313,0.188,65.9
1.4517,1789129708.078,274308,junction,-1.383,3.761,-3.185,42,32,0.313,0.188,66.2
1.4672,1789129708.094,274309,junction,-1.375,3.762,-3.191,42,32,0.313,0.188,65.7
1.4816,1789129708.108,274310,junction,-1.398,3.768,-3.185,42,32,0.313,0.188,65.9
1.5005,1789129708.127,274311,junction,-1.398,3.765,-3.177,42,32,0.313,0.188,65.9
1.5132,1789129708.140,274312,junction,-1.377,3.775,-2.747,43,32,0.313,0.188,65.5
1.5271,1789129708.153,274313,junction,-1.371,3.757,-3.184,41,32,0.313,0.188,66.0
1.5430,1789129708.169,274314,junction,-1.39,3.766,-3.186,41,32,0.313,0.188,66.0
1.5573,1789129708.184,274315,junction,-1.383,3.765,-3.202,43,32,0.313,0.188,65.6
1.5725,1789129708.199,274316,junction,-1.394,3.76,-3.188,42,32,0.313,0.188,66.1
1.5888,1789129708.215,274317,junction,-1.39,3.764,-3.193,42,32,0.313,0.188,66.0
1.6041,1789129708.230,274318,junction,-1.383,3.762,-3.163,42,32,0.313,0.188,65.6
1.6184,1789129708.245,274319,junction,-1.368,3.766,-3.171,42,32,0.313,0.188,65.6
1.6485,1789129708.275,274320,junction,-1.421,3.843,-3.093,105,70,0.313,0.188,63.0
1.6629,1789129708.289,274321,junction,-1.426,3.772,-2.778,42,32,0.313,0.188,60.4
1.6772,1789129708.303,274322,junction,-1.382,3.767,-3.173,42,32,0.313,0.188,61.2
1.6918,1789129708.318,274323,junction,-1.402,3.765,-3.18,41,32,0.313,0.188,61.9
1.7066,1789129708.333,274324,junction,-1.434,3.779,-2.688,42,32,0.313,0.188,62.2
1.7213,1789129708.348,274325,junction,-1.381,3.763,-3.174,41,32,0.438,0.188,63.0
1.7362,1789129708.363,274326,junction,-1.384,3.765,-3.193,42,32,0.313,0.188,63.5
1.7510,1789129708.377,274327,junction,-1.383,3.771,-2.764,42,32,0.313,0.188,63.6
1.7657,1789129708.392,274328,junction,-1.386,3.768,-3.19,42,32,0.313,0.188,64.2
1.7818,1789129708.408,274329,junction,-1.406,3.761,-3.178,41,32,0.313,0.188,64.6
1.7947,1789129708.421,274330,junction,-1.384,3.768,-3.185,43,32,0.313,0.188,64.9
1.8099,1789129708.436,274331,junction,-1.376,3.761,-3.197,42,32,0.313,0.188,65.1
1.8263,1789129708.453,274332,junction,-1.371,3.776,-2.731,42,32,0.313,0.188,65.4
1.8400,1789129708.466,274333,junction,-1.386,3.761,-3.204,43,32,0.313,0.188,65.4
1.8537,1789129708.480,274334,junction,-1.387,3.763,-3.178,42,32,0.313,0.188,65.6
1.8699,1789129708.496,274335,junction,-1.375,3.766,-2.773,42,32,0.313,0.188,65.8
1.8848,1789129708.511,274336,junction,-1.392,3.766,-3.186,41,32,0.313,0.188,65.9
1.9001,1789129708.526,274337,junction,-1.392,3.764,-3.172,41,32,0.313,0.188,66.0
1.9148,1789129708.541,274338,junction,-1.381,3.771,-2.74,43,32,0.313,0.188,66.1
1.9311,1789129708.557,274339,junction,-1.382,3.756,-3.219,42,32,0.313,0.188,65.1
1.9458,1789129708.572,274340,junction,-1.385,3.77,-3.185,43,32,0.313,0.188,65.7
1.9606,1789129708.587,274341,junction,-1.389,3.766,-3.186,42,32,0.313,0.188,65.9
1.9863,1789129708.613,274342,junction,-1.374,3.774,-2.755,42,32,0.313,0.188,65.7
1.9909,1789129708.617,274343,junction,-1.395,3.769,-3.19,41,32,0.313,0.188,65.9
2.0066,1789129708.633,274344,junction,-1.387,3.764,-3.209,42,32,0.313,0.188,65.8
2.0415,1789129708.668,274345,junction,-1.381,3.763,-3.171,43,32,0.313,0.188,65.5
2.0417,1789129708.668,274346,junction,-1.446,3.762,-3.206,42,32,0.313,0.188,65.9
2.0526,1789129708.679,274347,junction,-1.391,3.768,-3.193,42,32,0.313,0.188,66.0
2.0669,1789129708.693,274348,junction,-1.388,3.758,-3.209,43,32,0.313,0.188,65.6
2.0828,1789129708.709,274349,junction,-1.442,3.758,-3.177,42,32,0.313,0.188,65.7
2.1136,1789129708.740,274350,junction,-1.408,3.833,-3.12,105,69,0.313,0.188,63.2
2.1268,1789129708.753,274351,junction,-1.441,3.759,-3.183,42,32,0.313,0.188,60.2
2.1414,1789129708.768,274352,junction,-1.382,3.764,-3.175,42,32,0.313,0.188,61.2
2.1610,1789129708.787,274353,junction,-1.389,3.763,-3.206,41,32,0.313,0.188,61.8
2.1705,1789129708.797,274354,junction,-1.39,3.775,-3.162,42,32,0.313,0.188,62.2
2.1856,1789129708.812,274355,junction,-1.442,3.765,-3.176,42,32,0.313,0.188,63.1
2.2015,1789129708.828,274356,junction,-1.38,3.76,-3.195,41,32,0.313,0.188,63.5
2.2194,1789129708.846,274357,junction,-1.376,3.762,-3.181,43,32,0.313,0.188,63.6
2.2289,1789129708.855,274358,junction,-1.396,3.766,-3.181,42,32,0.313,0.188,64.2
2.2445,1789129708.871,274359,junction,-1.39,3.776,-2.741,42,32,0.313,0.188,64.6
2.2598,1789129708.886,274360,junction,-1.393,3.769,-3.177,41,32,0.313,0.188,64.9
2.2736,1789129708.900,274361,junction,-1.385,3.76,-3.193,43,32,0.313,0.188,65.1
2.2916,1789129708.918,274362,junction,-1.384,3.759,-3.177,42,32,0.313,0.188,65.4
2.3054,1789129708.932,274363,junction,-1.397,3.767,-3.196,42,32,0.313,0.188,65.4
2.3183,1789129708.945,274364,junction,-1.393,3.767,-3.209,41,32,0.313,0.188,65.6
2.3342,1789129708.961,274365,junction,-1.402,3.768,-3.201,42,32,0.313,0.188,66.0
2.3495,1789129708.976,274366,junction,-1.378,3.765,-3.191,43,32,0.313,0.188,65.7
2.3631,1789129708.989,274367,junction,-1.366,3.765,-3.191,42,32,0.313,0.188,65.9
2.3797,1789129709.006,274368,junction,-1.398,3.769,-3.191,42,32,0.313,0.188,66.0
2.3940,1789129709.020,274369,junction,-1.39,3.763,-3.177,41,32,0.313,0.188,66.0
2.4093,1789129709.036,274370,junction,-1.394,3.775,-3.195,42,32,0.313,0.188,66.1
2.4251,1789129709.051,274371,junction,-1.378,3.767,-3.198,43,32,0.313,0.188,66.2
2.4395,1789129709.066,274372,junction,-1.377,3.764,-3.194,41,32,0.313,0.188,65.7
2.4541,1789129709.080,274373,junction,-1.374,3.764,-3.218,43,32,0.313,0.188,66.2
2.4708,1789129709.097,274374,junction,-1.384,3.764,-3.203,43,32,0.438,0.188,66.3
2.4846,1789129709.111,274375,junction,-1.404,3.763,-3.187,42,32,0.313,0.188,65.8
2.4997,1789129709.126,274376,junction,-1.381,3.776,-2.741,42,32,0.313,0.188,65.8
2.5166,1789129709.143,274377,junction,-1.39,3.764,-2.803,42,32,0.313,0.188,66.2
2.5314,1789129709.158,274378,junction,-1.387,3.765,-3.195,42,32,0.313,0.188,65.7
2.5461,1789129709.172,274379,junction,-1.373,3.76,-3.185,41,32,0.313,0.188,65.7
