frame,t_s,theta_m1,theta,heading_raw,heading,rate_dps,tier,x_to_next_mm,y_offset_mm,travel_mm,otsu,sharpness,jump_rejected,fit_residual_px
53,1.7490,-0.1772,-0.8305,-4.0749,-4.1539,-5.96,2,30.188,-4.485,168.92,37,10.1,0,0.208
54,1.7820,-0.4394,-0.5313,-3.7758,-4.0920,-4.57,3,,-5.333,168.92,40,10.8,0,0.497
55,1.8150,-1.1573,-1.2127,-4.4571,-4.3392,-5.09,1,7.830,-6.172,191.28,46,11.4,0,0.477
56,1.8480,-1.3089,-1.2597,-4.5041,-4.5058,-5.08,1,-4.281,-6.614,203.39,52,11.9,0,0.251
57,1.8810,-1.0548,-1.3978,-4.6422,-4.6595,-5.01,1,62.678,-6.345,216.43,46,11.6,0,0.179
58,1.9140,-0.9600,-1.7609,-5.0054,-4.9060,-5.44,3,,-6.692,216.43,37,10.5,0,0.140
59,1.9470,-1.1217,-2.6259,-5.8704,-5.4388,-7.35,3,,-7.216,216.43,32,13.5,0,0.347
60,1.9800,-2.0556,-2.0391,-5.2835,-5.5023,-6.38,3,,-7.420,216.43,40,10.2,0,0.363
61,2.0130,-2.9030,-3.1277,-6.3721,-6.0096,-7.98,3,,-7.228,216.43,52,12.7,0,0.147
62,2.0460,-3.3148,-3.9328,-7.1773,-6.6799,-10.17,3,,-7.711,216.43,57,12.0,0,0.314
63,2.0790,-3.5912,-3.8801,-7.1246,-7.0646,-10.44,1,66.977,-7.805,212.13,55,11.9,0,0.181
64,2.1120,-2.6769,-4.0223,-7.2667,-7.3450,-10.09,3,,-7.855,212.13,46,14.2,0,0.284
65,2.1450,-5.2750,-5.0728,-8.3172,-7.9657,-11.64,2,35.986,-8.343,212.13,42,15.0,1,0.293
66,2.1780,-4.9321,-4.1097,-7.3542,-7.9018,-9.23,3,,-7.561,212.13,47,15.7,0,0.200
67,2.2110,-4.6164,-5.0014,-8.2458,-8.2241,-9.32,1,3.747,-7.212,195.36,56,16.1,0,0.315
68,2.2440,-4.9056,-5.0687,-8.3132,-8.4334,-8.79,1,66.423,-7.123,212.68,55,15.0,0,0.199
69,2.2770,-4.3505,-4.8100,-8.0545,-8.4225,-7.17,3,,-6.349,212.68,48,16.2,0,0.272
70,2.3100,-5.7363,-6.0572,-9.3017,-8.9483,-8.73,2,35.094,-6.796,212.68,42,13.2,1,0.391
71,2.3430,-6.2313,-5.6075,-8.8519,-9.0634,-7.80,3,,-6.555,212.68,46,12.1,0,0.364
72,2.3760,-5.3563,-5.5142,-8.7586,-9.0677,-6.43,1,4.309,-5.309,194.80,55,12.2,0,0.297
73,2.4090,-6.0075,-6.2677,-9.5121,-9.3845,-7.00,1,67.858,-5.987,211.25,55,11.8,0,0.168
74,2.4420,-4.8337,-5.4371,-8.6815,-9.1952,-4.73,3,,-5.953,211.25,47,11.1,0,0.406
75,2.4750,-5.3051,-11.7159,-14.9603,-11.8754,-18.33,2,38.662,-5.138,240.45,38,12.2,0,0.237
76,2.5080,-4.0317,-4.2006,-7.4451,-10.2144,-6.12,3,,-4.597,240.45,36,9.3,0,0.168
77,2.5410,-3.6253,-3.5209,-6.7653,-8.7735,2.73,1,8.917,-3.713,270.19,43,9.7,0,0.229
78,2.5740,-2.8890,-2.4642,-5.7086,-7.3448,9.94,1,72.428,-3.926,286.68,46,8.7,0,0.256
79,2.6070,-2.1689,-2.4957,-5.7402,-6.4423,13.03,3,,-5.530,286.68,42,8.7,0,0.221
80,2.6400,-1.3374,4.7197,1.4752,-2.6429,31.19,2,40.000,-6.520,286.68,33,9.9,1,0.363
81,2.6730,-0.4931,-0.4388,-3.6833,-2.5450,26.17,3,,-7.456,286.68,39,10.5,0,0.315
82,2.7060,5.4074,5.3719,2.1275,0.0325,35.40,1,14.362,-4.180,264.75,49,11.5,0,0.211
83,2.7390,13.2904,13.8159,10.5715,5.4176,58.12,1,7.881,2.017,271.23,51,14.2,0,0.140
84,2.7720,16.9652,17.7012,14.4568,10.5401,75.38,1,3.979,5.286,275.13,56,17.3,0,0.296
85,2.8050,17.7615,18.6046,15.3602,14.0773,81.04,1,3.063,6.152,276.04,55,17.6,0,0.551
86,2.8380,17.1783,17.9565,14.7120,15.8338,76.09,1,3.940,5.598,275.17,55,14.9,0,0.392
87,2.8710,15.1457,15.8235,12.5790,15.7502,62.11,1,6.245,4.237,272.86,53,15.7,0,0.328
88,2.9040,14.2508,15.1181,11.8737,15.1332,47.75,1,7.772,3.601,271.34,52,14.5,0,0.218
