frame,t_s,theta_m1,theta,heading_raw,heading,rate_dps,tier,x_to_next_mm,y_offset_mm,travel_mm,otsu,sharpness,jump_rejected,fit_residual_px
51,1.6830,-6.6426,-6.0255,-9.0774,-9.1461,-7.44,3,,-10.034,256.77,45,12.8,0,0.223
52,1.7160,-7.3847,-7.2614,-10.3133,-9.8064,-9.68,3,,-10.629,256.77,53,14.0,0,0.353
53,1.7490,-6.9559,-7.4152,-10.4671,-10.2794,-10.50,1,-0.316,-11.031,238.79,57,15.5,0,0.166
54,1.7820,-6.7707,-7.1878,-10.2397,-10.4522,-9.57,1,69.141,-10.950,249.33,57,16.9,0,0.133
55,1.8150,-5.3499,-6.3441,-9.3960,-10.1506,-6.24,3,,-11.382,249.33,51,15.3,0,0.267
56,1.8480,-6.3225,-5.3645,-8.4164,-9.4835,-1.54,2,48.474,-11.040,270.00,45,16.5,0,0.290
57,1.8810,-7.8637,-7.8337,-10.8856,-10.1424,-4.81,2,36.432,-10.927,282.04,44,15.7,0,0.310
58,1.9140,-7.1300,-6.3361,-9.3880,-9.8903,-2.60,2,24.390,-10.957,294.09,44,15.2,0,0.175
59,1.9470,-7.8124,-7.5410,-10.5929,-10.2537,-4.10,3,,-11.163,294.09,53,16.9,0,0.278
60,1.9800,-7.6274,-7.6358,-10.6877,-10.5233,-4.82,1,1.810,-12.037,316.66,58,17.8,0,0.561
61,2.0130,-7.0656,-7.3843,-10.4362,-10.5716,-4.22,3,,-12.243,316.66,57,17.5,0,0.118
62,2.0460,-6.7852,-6.7034,-9.7553,-10.2810,-1.91,3,,-13.322,316.66,53,15.3,0,0.146
63,2.0790,-7.2198,-5.5668,-8.6188,-9.5676,2.28,3,,-13.277,316.66,47,17.5,0,0.288
64,2.1120,-6.9718,-7.8235,-10.8754,-10.1148,-1.08,2,38.662,-12.608,316.66,45,15.7,1,0.252
65,2.1450,-6.2074,-5.7310,-8.7829,-9.5350,2.24,2,27.512,-11.785,290.96,43,13.7,0,0.111
66,2.1780,-7.2645,-6.3442,-9.3962,-9.4319,2.40,3,,-11.294,290.96,48,14.5,0,0.855
67,2.2110,-6.6417,-6.8012,-9.8531,-9.5780,1.18,1,8.080,-9.636,310.39,56,13.3,0,0.345
68,2.2440,-6.3650,-6.4541,-9.5060,-9.5241,1.26,3,,-8.826,310.39,58,14.2,0,0.568
69,2.2770,-6.4194,-6.7300,-9.7820,-9.6172,0.54,3,,-8.239,310.39,56,13.4,0,0.161
70,2.3100,-5.1466,-5.7939,-8.8458,-9.2604,2.36,1,60.825,-7.405,337.65,51,12.9,0,0.230
71,2.3430,-4.8197,-5.8254,-8.8774,-9.0451,3.10,3,,-6.663,337.65,50,14.4,0,0.289
72,2.3760,-4.3806,-5.9731,-9.0250,-8.9798,2.90,3,,-6.230,337.65,47,12.4,0,0.446
73,2.4090,-4.6171,-5.0458,-8.0977,-8.5302,4.81,3,,-5.316,337.65,43,15.8,0,0.417
74,2.4420,-3.9335,-4.3156,-7.3675,-7.9197,7.24,3,,-4.225,337.65,42,15.7,0,0.340
75,2.4750,-3.9806,-4.2851,-7.3371,-7.5260,8.08,3,,-4.160,337.65,42,17.8,0,0.324
76,2.5080,-3.9387,-4.2437,-7.2956,-7.2758,7.99,3,,-4.174,337.65,42,16.2,0,0.323
